seed,n_train,n_test,n_local_train,n_users,score_name,score,time,id_user,n_local_iterations,policy,data_name,network_topology,type_sequence,BN_Structure
10,15,45,15,7,global,-0.4922817908990789,66,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4926995345888124,66,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,66,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5035142502655549,67,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.49837739242818313,67,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4876649607593129,67,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,67,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3855860248597204,68,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5013564691191532,68,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5189720884444515,68,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,68,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3804289605978822,69,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5317380830536892,69,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5809461875430271,69,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,69,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.34296136262759197,70,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5033386986816895,70,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5266870908771712,70,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,70,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.544085889211871,71,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.49108451926622404,71,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.49135866483421914,71,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,71,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5799828536329917,72,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5301566994489938,72,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5187691642278786,72,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,72,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.4593410355624652,73,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4901566600618993,73,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4926178096892787,73,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,73,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5018536171116327,74,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4964247879982954,74,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4866233180945187,74,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,74,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.38316394034493584,75,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5004297381902654,75,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5202996719477273,75,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,75,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.37405556226285686,76,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5326297334750965,76,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5844366968000578,76,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,76,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3419624662713567,77,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5015970746812535,77,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5259051729720897,77,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,77,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5415549950627214,78,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48934776604028635,78,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.48986077809838574,78,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,78,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5770370695759465,79,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5319849654441416,79,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5212703059827131,79,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,79,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.45740102261206034,80,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48834156662579487,80,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.49282945222525426,80,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,80,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5003189971889324,81,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.49466515366646,81,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4856740350832143,81,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,81,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.38094139103545077,82,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4997397565384347,82,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5217476828526626,82,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,82,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.36838647982812095,83,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5336803902885734,83,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5879312014445717,83,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,83,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.34109692562357713,84,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4999734194440366,84,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5250812556958955,84,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,84,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5391904685431281,85,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48781768649118085,85,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4884705966419804,85,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,85,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5742859652946705,86,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5340769649729191,86,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5239594688777379,86,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,86,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.4557920472665154,87,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48681930673148155,87,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.49331756198740057,87,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,87,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.4988797906821064,88,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.49307103394640894,88,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.48478623287076733,88,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,88,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3788955503695204,89,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.49925055787375944,89,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5232882393716194,89,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,89,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.363292534903955,90,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5348725131857984,90,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5914339054768787,90,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,90,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3403146050037803,91,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4984496362642387,91,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5242104972607862,91,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,91,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5369741114879522,92,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.48646883572777283,92,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.48716700364250437,92,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,92,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5717572810398746,93,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5363916207580203,93,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5268016483699977,93,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,93,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.45449001098855923,94,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4855820087574241,94,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4940796426570348,94,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,94,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.4975183743547458,95,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.49162373977958684,95,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4839441652009068,95,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,95,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.37700634805456146,96,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4989366143856845,96,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5249060068168754,96,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,96,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3586803546800842,97,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5361939093835552,97,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5949522100521527,97,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,97,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.33958492984144784,98,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.4970133591568267,98,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.523294507636083,98,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,98,-1,1,info,data/iris.csv,Given,Given,NB
